Lot #,Vehicle ID,Tow Reference ,Year,Make,Model,VIN,Mileage,Reason,K,Comments
84,2731913,15414,2007,TOYOTA,CAMRY,4T1BE46K97U179079,,ABANDONED,,
499,2720789,14917,2007,HYUNDAI,ELANTRA,KMHDU46D37U060795,,ACCIDENT,,
261,2700203,14020,1994,LEXUS,ES 300,JT8GK13T2R0026566,,ACCIDENT,,
119,2731172,15376,1994,FORD,RANGER,1FTCR14UXRPA49717,,STOLEN,,
82,2707518,14338,1996,HONDA,ACCORD,1HGCE6649TA015575,,ABANDONED,,
513,2710846,14489,2000,CADILLAC,DEVILLE,1G6KD54Y6YU226481,,ABANDONED,,
363,2717496,14758,2008,HONDA,CIVIC,2HGFG12828H576695,,ABANDONED,,
273,2708460,14375,2004,VOLKSWAGEN,JETTA,3VWSK69M64M092100,,ABANDONED,,
154,2707450,14336,2000,VOLKSWAGEN,BEETLE,3VWCD21C3YM416619,,ABANDONED,,
322,2696837,900814,1997,JEEP,GRAND CHER,1J4GZ58S7VC770218,,KCIPD,,
30,2704204,14201,1997,DODGE,GRAND CARA,1B4GP44R4VB249467,,STOLEN,,
230,2726141,15154,2004,VOLVO,S60,YV1RS59V342342687,,STOLEN,,
462,2718062,14788,2000,FORD,TAURUS,1FAFP52U2YG290768,,ACCIDENT,K,
475,2697666,13915,2000,HONDA,CIVIC,1HGEJ8644YL022719,,STOLEN,,
477,2691097,13604,2005,CHEVROLET,TRAIL BLAZER,1GNES165256178924,,ACCIDENT,,
181,2723449,15035,2002,FORD,TAURUS,1FAFP53U82G165702,,ABANDONED,,
74,2701823,14091,2003,CHEVROLET,TAHOE,1GNEK13Z33R244460,,STOLEN,K,
429,2709182,14406,2003,HONDA,ODYSSEY,2HKRL18603H502897,,ARREST,K,
13,2734794,15536,2016,FORD,FUSION,3FA6P0K95GR361323,,STOLEN,,
32,2699043,13965,2005,CHRYSLER,300,2C3AA53G85H133605,,ACCIDENT,,
405,2712745,14570,2004,DODGE,RAM,1D7HU18D64S779974,,STOLEN,,
265,2706764,14310,2000,BMW,7 SERIES,WBAGH834XYDP09282,,ILLEGALLY PARKED,,
164,2730007,15329,1996,DODGE,RAM,1B7HC16X0TS657376,,ARREST,K,
179,2703287,14171,2006,CHEVROLET,MALIBU,1G1ZT51896F168086,,ACCIDENT,K,
228,2722194,14976,2001,CHEVROLET,SUBURBAN,3GNFK16T51G219035,,ACCIDENT,K,
134,2731832,15409,2002,TOYOTA,TUNDRA,5TBRT34102S226874,,STOLEN,,
452,2696930,13881,1999,CHEVROLET,TAHOE,1GNEK13R3XR101711,,ACCIDENT,K,
400,2712908,14581,2003,PONTIAC,GRAND PRIX,1G2WP52K83F112018,,ABANDONED,,
466,2713720,14620,2008,FORD,TAURUS,1FAHP24W78G155369,,ABANDONED,,
85,2736712,15631,2007,CHRYSLER,TOWN-COUNT,2A4GP54L27R324704,,ABANDONED,,
502,2710309,14468,1995,ACURA,INTEGRA,JH4DC4353SS013998,,ACCIDENT,,
182,2735062,15546,2001,FORD,FOCUS,1FAFP33P31W122369,,STOLEN,,
231,2714175,14639,2003,CHEVROLET,MONTE CARLO,2G1WW12E539345017,,ABANDONED,,
360,2713927,14625,1995,GMC,SUBURBAN,1GKFK16K7SJ714860,,ABANDONED,,
460,2732812,15469,1997,TOYOTA,CAMRY,4T1BG22K4VU078937,,STOLEN,K,
410,2712661,14566,2004,CHEVROLET,MALIBU,1G1ZT54814F107887,,ABANDONED,,
459,2696715,13864,2007,NISSAN,ALTIMA,1N4AL21EX7N472064,,ACCIDENT,,
187,2723577,15042,1994,MAZDA,PROTEGE,JM1BG2246R0750239,,ACCIDENT,,
203,2704892,14221,2009,BMW,1 SERIES,WBAUL73569VJ77139,,ILLEGALLY PARKED,,
366,2717313,14752,2007,MITSUBISHI,OUTLANDER,JA4MT41X87Z018032,,ACCIDENT,,
453,2710634,14481,1989,FORD,F150,1FTDF15Y1KKA13710,,ACCIDENT,,
106,2705362,14241,2001,CHRYSLER,LHS,2C3HC56G11H587869,,ABANDONED,,
178,2726907,15186,1999,CHEVROLET,TAHOE,1GNEK13RXXJ368133,,ARREST,K,
491,2710089,14456,2008,CHEVROLET,IMPALA,2G1WB58K589129983,,ACCIDENT,,
218,2726541,15172,2001,CHEVROLET,MONTE CARLO,2G1WX15K319239449,,ILLEGALLY PARKED,,
362,2721565,14950,2000,FORD,EXPLORER,1FMZU73E1YUA95275,,ILLEGALLY PARKED,K,
36,2699032,13966,2003,MITSUBISHI,ECLIPSE,4A3AE75H63E011117,,ACCIDENT,,
234,2699612,13990,2004,HYUNDAI,SONATA,KMHWF35H54A084353,,ACCIDENT,K,
54,2710259,14462,2016,FORD,ESCAPE,1FMCU0G74GUC42146,,ACCIDENT,,
128,2737005,15643,1997,DODGE,RAM,1B7HF16Y7VS121950,,STOLEN,,
422,2725139,15119,2004,CHEVROLET,TRAIL BLAZER,1GNDT13S542147377,,ABANDONED,,
150,2728666,15265,1997,BUICK,PARK AVENUE,1G4CW52K1V4657344,,ABANDONED,,
16,2586630,8584,2003,HONDA,PILOT,2HKYF18583H614020,,ARREST,,
295,2705581,14253,2004,APRILIA,OTHER,ZD4PWD0054S000773,,ACCIDENT,,
110,2700924,14054,1995,GMC,YUKON,1GKEK13K8SJ759760,,ABANDONED,,
396,2732817,15468,2003,FORD,ESCAPE,1FMYU93153KD89853,,ABANDONED,,
149,2737257,15653,2010,CHEVROLET,MALIBU,1G1ZB5EBXAF148558,,ACCIDENT,,
494,2717791,14770,2003,TOYOTA,CAMRY,4T1BE32K13U132557,,ACCIDENT,,
299,2698554,13945,2003,CHEVROLET,VENTURE,1GNDX03E83D252121,,ARREST,,
55,2712560,14559,2006,CHRYSLER,SEBRING,1C3EL56R96N205428,,ACCIDENT,,
47,2701395,14080,2005,CHEVROLET,TAHOE,1GNEK13T05J220792,,ACCIDENT,,
29,2704116,14196,2000,VOLVO,S40,YV1VS2552YF462675,,ILLEGALLY PARKED,,
286,2707325,14329,1999,CHRYSLER,TOWN-COUNT,1C4GP64LXXB838309,,ABANDONED,,
349,2696650,900822,2004,PONTIAC,GRAND AM,1G2NF52E34M545140,,KCIPD,,
338,2696547,900767,1998,TOYOTA,AVALON,4T1BF18B2WU222796,,KCIPD,,
241,2724509,15084,2003,CADILLAC,DEVILLE,1G6KD54Y33U221389,STARTS,ARREST,K,STARTS
508,2733254,15481,1998,FORD,EXPLORER,1FMZU34X8WZB36249,,ILLEGALLY PARKED,,
17,2737540,15660,2001,TOYOTA,CAMRY,4T1BF22K61U964528,,ACCIDENT,,
75,2703172,14163,2004,FORD,ESCAPE,1FMYU03124DA23379,,ACCIDENT,K,
22,2735954,15597,2003,NISSAN,ALTIMA,1N4AL11D43C100145,,ABANDONED,,
423,2725785,15148,2002,HONDA,ODYSSEY,5FNRL18982B044520,,ACCIDENT,K,
131,2731771,15400,2001,OLDSMOBILE,AURORA,1G3GR64H914118131,,ABANDONED,,
488,2720825,14918,2006,CHEVROLET,EQUINOX,2CNDL13F866097118,,ACCIDENT,,
398,2729651,15312,2000,BMW,7 SERIES,WBAGH8347YDP05948,,ABANDONED,,
52,2701895,14093,1997,HONDA,CRV,JHLRD1850VC065201,,ACCIDENT,,
289,2697939,13928,1997,OLDSMOBILE,ACHIEVA,1G3NL52T0VM348964,,ABANDONED,,
213,2727689,15220,1989,CHEVROLET,CORSICA,1G1LT5415KE268884,,STOLEN,,
421,2725901,15150,2005,NISSAN,MAXIMA,1N4BA41E65C851934,,ACCIDENT,,
146,2724608,15087,1999,DODGE,CARAVAN,2B4GP25G4XR180804,,STOLEN,,
473,2714921,14670,1994,NISSAN,ALTIMA,1N4BU31D6RC237982,,ACCIDENT,,
348,2696644,900811,2006,TOYOTA,AVALON,4T1BK36B06U120827,,KCIPD,,
275,2708828,14381,2017,CHEVROLET,SONIC,1G1JG6SH9H4175429,,ACCIDENT,,
242,2736501,15626,2006,CADILLAC,CTS,1G6DP577760126767,,STOLEN,,
28,2704712,14217,2003,BUICK,RENDEZVOUS,3G5DB03E43S595278,,ABANDONED,,
87,2732050,15425,2000,FORD,TAURUS,1FAFP55S7YA187794,,ABANDONED,,
496,2711030,14499,2000,FORD,FOCUS,1FAFP3836YW365576,STARTS,ARREST,K,STARTS
368,2737183,15649,2005,KIA,OPTIMA,KNAGD126555404381,,STOLEN,,
177,2723437,15036,2006,PONTIAC,G6,1G2ZG558164153698,,ABANDONED,,
104,2699192,13976,2003,FORD,CROWN VICT,2FAFP71W43X108344,,ILLEGALLY PARKED,,
88,2732100,15432,2002,MERCURY,COUGAR,1ZWHT61L525601182,,ABANDONED,,
486,2725138,15114,2002,SATURN,S SERIES,1G8ZK54712Z244349,,ILLEGALLY PARKED,,
112,2705060,14233,2006,KIA,SEDONA,KNDMB233366018186,,ABANDONED,K,
489,2710084,14454,2005,CHEVROLET,IMPALA,2G1WH52K759246080,,ACCIDENT,K,
464,2710680,14480,1999,DODGE,GRAND CARA,2B4GP44G0XR362383,,STOLEN,,
409,2712727,14569,2005,CHRYSLER,PACIFICA,2C4GF68415R670404,,ABANDONED,,
126,2731485,15389,1989,JEEP,CHEROKEE,1J4FJ38L6KL537426,,ARREST,K,
515,2717750,14768,1998,HONDA,ACCORD,1HGCG2254WA014095,,ABANDONED,,
38,2702721,14145,1999,DODGE,CARAVAN,2B4FP25B9XR462369,,STOLEN,,
471,2717615,14760,1997,SATURN,S SERIES,1G8ZJ5276VZ153331,,ILLEGALLY PARKED,,
435,2721207,14934,2007,PONTIAC,GRAND PRIX,2G2WP552371153309,,ACCIDENT,,
458,2696679,13865,2003,CADILLAC,DEVILLE,1G6KE57Y73U112782,,ARREST,K,
26,2733642,15495,1996,NISSAN,MAXIMA,JN1CA21D0TT107272,,ACCIDENT,,
130,2731743,15392,2004,SUZUKI,OTHER,KL5VM52L64B105110,,ABANDONED,,
264,2708664,14377,2007,MAZDA,OTHER,JM1FE173070208357,,ACCIDENT,,
444,2729624,15309,2000,FORD,FOCUS,1FAFP3430YW330036,,ABANDONED,,
253,2721702,14956,1995,VOLVO,940,YV1JS8319S3196839,,ACCIDENT,K,
507,2718756,14818,1990,ACURA,LEGEND,JH4KA4649LC017341,,ABANDONED,,
356,2696681,900813,1992,TOYOTA,CAMRY,JT2SK12E7N0086621,,KCIPD,,
133,2731774,15398,1999,LINCOLN,TOWN CAR,1LNHM83W7XY684462,,ABANDONED,,
300,2700072,14012,1994,BUICK,LESABRE,1G4HP52L5RH462714,,ABANDONED,,
314,2696892,900828,2007,CHEVROLET,TAHOE,1GNFK13047J149173,,KCIPD,,
431,2711415,14518,2006,MAZDA,6,1YVFP80C665M21340,,ACCIDENT,K,
354,2696673,900785,1997,DODGE,RAM,3B7HF13Z7VG741590,,KCIPD,,
418,2707334,14328,2003,HONDA,ACCORD,1HGCM726X3A031431,,STOLEN,,
245,2726516,15173,2002,BUICK,LESABRE,1G4HR54K22U238506,,ILLEGALLY PARKED,,
316,2696867,900786,1999,CHRYSLER,TOWN-COUNT,1C4GP54L8XB634747,,KCIPD,,
263,2733007,15473,2003,CHEVROLET,TRAIL BLAZER,1GNDT13S332276703,,ACCIDENT,,
200,2724937,15106,2010,FORD,FUSION,3FAHP0HG5AR218720,,ACCIDENT,,
439,2712184,14552,1997,FORD,F150,1FTEX17L4VKC70593,,ACCIDENT,,
391,2721347,14940,1996,NISSAN,QUEST,4N2DN11W3TD820160,,ACCIDENT,,
345,2696568,900776,1993,FORD,MUSTANG,1FACP41M7PF168944,,KCIPD,,
351,2696647,900816,2005,DODGE,GRAND CARA,2D4GP44L65R298821,,KCIPD,,
34,2703141,14160,1995,NISSAN,MAXIMA,JN1CA21D0ST665492,,ABANDONED,,
116,2735419,15571,2004,CHEVROLET,MALIBU,1G1ZU54884F111299,STARTS,ARREST,K,STARTS
342,2696578,900783,2002,NISSAN,SENTRA,3N1CB51D12L650518,,KCIPD,,
105,2701934,14099,1996,FORD,CONTOUR,1FALP6537TK154816,,ABANDONED,,
327,2696760,900806,1988,JEEP,COMANCHEE,1JTMP65P5JT169063,,KCIPD,,
509,2709398,14420,2003,GMC,ENVOY XL,1GKET16S536163261,,ACCIDENT,,
450,2697775,13917,2000,BMW,3 SERIES,WBAAM3346YFP75739,,ABANDONED,,
108,2705385,14243,2002,CADILLAC,DEVILLE,1G6KD54Y82U185567,,ABANDONED,,
380,2736364,15615,2007,CHEVROLET,COBALT,1G1AL55F077392509,,ABANDONED,,
57,2704086,14195,2008,VOLKSWAGEN,PASSAT,WVWAK73C28E138053,,ACCIDENT,,
67,2707794,14343,1991,JAGUAR,XJ6,SAJFY1741MC632965,,ACCIDENT,,
232,2722080,14973,2003,CHEVROLET,BLAZER,1GNDT13XX3K175153,,ILLEGALLY PARKED,,
370,2719830,14871,1998,TOYOTA,COROLLA,1NXBR18E2WZ101591,,ARREST,K,
325,2696756,900803,2004,FORD,ESCAPE,1FMCU04174KA57466,,KCIPD,,
447,2713756,14621,2000,CHEVROLET,CAVALIER,1G1JC1242Y7185889,,ARREST,K,
449,2696889,13882,2002,TOYOTA,RAV4,JTEGH20V120045011,,ACCIDENT,,
193,2723976,15062,1999,BUICK,REGAL,2G4WB52K5X1623009,,ILLEGALLY PARKED,,
337,2696554,900770,2000,PONTIAC,GRAND AM,1G2NV12E3YM859016,,KCIPD,,
212,2727655,15219,2002,MITSUBISHI,MONTERO,JA4MT41R42J065454,,ARREST,K,
308,2712518,14558,2000,JEEP,GRAND CHER,1J4GW48N5YC324053,,ABANDONED,,
208,2722975,15018,2008,FORD,TAURUS,1FAHP24WX8G116324,,ARREST,K,
333,2719540,14855,2004,BUICK,REGAL,2G4WB52K141179381,,ABANDONED,,
281,2325551,896780,1999,DODGE,RAM,3B7HC13Z7XG203189,,ARREST,,
446,2712012,14540,2000,FORD,F150,1FTZX0729YKA68386,,ACCIDENT,K,
103,2700302,14021,2002,FORD,ESCAPE,1FMCU03192KD82358,,ARREST,,
291,2697989,13931,2006,CHEVROLET,COBALT,1G1AL15FX67653278,,ABANDONED,,
523,2709088,14402,2005,FORD,ESCAPE,1FMYU94165KB10802,,STOLEN,,
432,2711456,14517,1994,FORD,F150,1FTDF15Y3RNB55792,,STOLEN,,
158,2734181,15521,2001,CHEVROLET,VENTURE,1GNDX03E31D109185,,ARREST,,
387,2713534,14611,2006,PONTIAC,GRAND PRIX,2G2WR554061187492,,ACCIDENT,K,
229,2737026,15644,1996,CADILLAC,DEVILLE,1G6KD52Y8TU214957,,ABANDONED,,
161,2730125,15333,2006,NISSAN,ALTIMA,1N4AL11D66C174056,,ABANDONED,,
118,2730750,15363,2002,FORD,F150,1FTRX07212KD86848,,ABANDONED,,
62,2710240,14461,2005,HONDA,CIVIC,2HGES16575H630286,,ACCIDENT,,
152,2702062,14110,2015,KIA,SOUL,KNDJN2A29F7196828,,STOLEN,,
274,2708255,14369,2008,FORD,FUSION,3FAHP06Z78R107360,,ACCIDENT,K,
66,2702275,14126,1999,FORD,ESCORT,3FAKP1137XR135057,,ACCIDENT,,
372,2714702,14659,1999,FORD,CROWN VICT,2FAFP71W6XX184427,,ARREST,,
328,2696722,900792,2012,JEEP,LIBERTY,1C4PJLAK8CW174607,,KCIPD,,
389,2713135,14590,2003,CHEVROLET,MALIBU,1G1ND52J23M611263,,ABANDONED,,
58,2706340,14298,1995,HONDA,CIVIC,1HGEJ1124SL054672,,ACCIDENT,K,
56,2710241,14458,2002,BUICK,LESABRE,1G4HR54K22U278746,,ACCIDENT,,
205,2730676,15360,2006,FORD,ECONOLINE,1FBSS31LX6DA81611,,ILLEGALLY PARKED,,
243,2725220,15122,1998,FORD,EXPLORER,1FMZU35P4WZB54553,,ACCIDENT,,
318,2696766,900774,2002,CHRYSLER,PT CRUISER,3C4FY58B92T289116,,KCIPD,,
414,2718149,14793,2004,GMC,YUKON,1GKEK13T84J287765,,ACCIDENT,K,
20,2733724,15500,2003,HONDA,PILOT,2HKYF18573H546180,,ACCIDENT,K,
324,2696792,900812,2000,HONDA,CIVIC,2HGEJ6617YH544929,,KCIPD,,
64,2711009,14497,2008,ACURA,TL,19UUA66228A032594,,ACCIDENT,,
287,2698071,900794,1991,CHEVROLET,LUMINA,2G1WN54T4M9251394,,KCIPD,,
430,2711417,14519,2009,KIA,OPTIMA,KNAGE228095282247,,ACCIDENT,,
401,2736255,15612,1984,FORD,F150,2FTCF15Y2ECB43029,,ABANDONED,,
522,2733221,15482,2002,FORD,FOCUS,3FAFP31342R146135,,ILLEGALLY PARKED,,
445,2721180,14931,2007,TOYOTA,COROLLA,1NXBR30EX7Z823562,,ACCIDENT,,
470,2709649,14429,2007,CHEVROLET,COBALT,1G1AL15F377405570,,ACCIDENT,,
353,2696666,900780,1979,MERCURY,MARQUIS,9Z62F736043,,KCIPD,,
340,2696710,900778,1997,FORD,EXPLORER,1FMDU34E5VUC64761,,KCIPD,,
412,2718288,14795,1999,MAZDA,626,1YVGF22C9X5895821,,ACCIDENT,,
1,2734784,15541,2005,CHEVROLET,TRAIL BLAZER,1GNDT13S452227948,,ARREST,K,
238,2721675,14954,2000,BUICK,CENTURY,2G4WY55J0Y1328449,,ABANDONED,,
500,2717888,14773,2003,CHEVROLET,SUBURBAN,1GNFK16Z73J187467,STARTS,ARREST,K,STARTS
160,2728596,15257,2004,NISSAN,MURANO,JN8AZ08W44W333201,,ACCIDENT,,
297,2698464,13942,2006,ACURA,TL,19UUA66226A043642,,ABANDONED,,
301,2718596,14804,2005,DODGE,STRATUS,1B3EL46X45N557112,,ACCIDENT,,
72,2702444,14130,2006,NISSAN,ARMADA,5N1AA08A56N701445,,ACCIDENT,,
408,2719235,14836,2009,NISSAN,ALTIMA,1N4AL21E89N447277,,ACCIDENT,,
525,2708975,14393,1998,BUICK,CENTURY,2G4WS52M8W1526323,,ABANDONED,,
77,2706024,14275,2005,CHEVROLET,CLASSIC,1G1ND52F35M237325,,ABANDONED,,
399,2713359,14597,2000,DODGE,DAKOTA,1B7GL22X2YS553244,,ARREST,,
279,2716082,14707,2001,DODGE,DURANGO,1B4HS28N11F549789,,ILLEGALLY PARKED,,
402,2719102,14833,1999,MERCEDES,CLK-CLASS,WDBLJ65G9XF089818,,ILLEGALLY PARKED,,
469,1450000,838721,2005,CHEVROLET,CAVALIER,1G1JC52F057130927,,ACCIDENT,,
101,2701377,14077,2005,FORD,TAURUS,1FAFP56U05A139260,,ACCIDENT,K,
480,2712287,14555,2000,OTHER-NOT IN LIST,OTHER,NO VIN,,ABANDONED,,
526,2709326,14415,1995,FORD,F250,1FTHF25H7SEA62643,,ILLEGALLY PARKED,,
268,2721957,14968,2002,FORD,CROWN VICT,2FAFP74W32X109639,,ARREST,K,
323,2696832,900773,2005,FORD,CROWN VICT,2FAFP74W05X159077,,KCIPD,K,
173,2731193,15379,1999,HONDA,MC - CBR-SERIES,JH2SC3305XM301466,,ACCIDENT,K,
70,2702854,14152,1992,CHEVROLET,SUBURBAN,1GNFK16K7NJ328334,,ABANDONED,,
80,2708272,14370,2006,ACURA,MDX,2HNYD18966H522209,,ABANDONED,,
395,2724626,15089,1992,PONTIAC,FIREBIRD,1G2FS23E4NL221084,,ARREST,K,
343,2701153,14067,2003,NISSAN,SENTRA,3N1CB51D83L818625,,ABANDONED,,
69,2700052,14013,1993,MERCURY,GRAND MARQ,2MELM75W5PX632364,,ABANDONED,,
98,2732726,15464,2000,DAEWOO,LEGANZA,KLAVA6922YB237431,,ARREST,,
290,2697829,13920,2003,CHEVROLET,MONTE CARLO,2G1WX12K439431633,,ABANDONED,,
217,2725568,15132,2004,FORD,MUSTANG,1FAFP45X34F170638,,ACCIDENT,,
155,2728278,15241,1997,PONTIAC,BONNEVILLE,1G2HX52K3VH221289,,ABANDONED,,
65,2707603,14340,2001,HONDA,ACCORD,JHMCG56631C021120,,ABANDONED,,
283,2688345,13460,2002,OTHER-NOT IN LIST,OTHER,5YTUP16252S001764,,ABANDONED,,
210,2722957,15017,2000,FORD,F150,1FTRX17W8YKB14380,,ACCIDENT,K,
204,2730210,15338,2005,BUICK,LESABRE,1G4HP52K55U263493,,ACCIDENT,,
50,2634648,10973,1997,FORD,F150,1FTDX1765VKA70067,,STOLEN,,
233,2700705,14042,2001,CHRYSLER,PT CRUISER,3C4FY4BB71T539406,,ACCIDENT,,
5,2735789,15591,2002,BUICK,CENTURY,2G4WS52J921244479,,ARREST,K,
21,2733709,15503,2002,CHEVROLET,TAHOE,1GNEK13Z02R285451,,ACCIDENT,,
136,2731796,15399,2002,DODGE,DURANGO,1B4HS48N72F218034,,ABANDONED,,
252,2733091,15475,2006,PONTIAC,G6,1G2ZH558464141803,,ILLEGALLY PARKED,,
310,2698781,13959,2002,CHEVROLET,VENTURE,1GNDU03E62D289966,,ABANDONED,,
73,2701728,14088,2006,CHEVROLET,IMPALA,2G1WB55K169121591,,ACCIDENT,,
428,2734952,15544,2002,PONTIAC,GRAND AM,1G2NE52F82C209109,,ABANDONED,,
43,2733383,15489,2000,BUICK,CENTURY,2G4WS52J6Y1260745,,STOLEN,,
143,2724069,15070,2001,NISSAN,QUEST,4N2ZN15T51D822866,,ABANDONED,,
330,2696733,900831,2002,PONTIAC,SUNFIRE,1G2JD12T527139867,,KCIPD,,
142,2700716,14041,1999,FORD,ESCORT,1FAFP13P8XW122669,,ACCIDENT,K,
424,2714985,14673,2019,JEEP,CHEROKEE,1C4PJMDX0KD155590,,ACCIDENT,,
465,2701978,14100,2004,TOYOTA,CAMRY,4T1BE32K94U817567,,ACCIDENT,,
344,2696584,900784,2009,NISSAN,MURANO,JN8AZ18W99W137977,,KCIPD,,
407,2712731,14575,2007,FORD,FIVE HUNDRED,1FAHP24187G162799,,ABANDONED,,
35,2701706,14086,2006,KIA,SEDONA,KNDMB233266036310,STARTS,ARREST,K,STARTS
